iter	MultiClass
0	1.337292582
1	1.299227552
2	1.267901523
3	1.241053388
4	1.218556598
5	1.199240018
6	1.182289659
7	1.169068941
8	1.158461497
9	1.146671599
10	1.138087095
11	1.130170345
12	1.121278825
13	1.112219443
14	1.105184467
15	1.100335643
16	1.0931905
17	1.089076261
18	1.084412409
19	1.079022977
20	1.07505889
21	1.070434918
22	1.067705726
23	1.064913808
24	1.060205859
25	1.058334679
26	1.054223334
27	1.049696376
28	1.045310431
29	1.043170253
30	1.040192589
31	1.037527245
32	1.034495048
33	1.030685214
34	1.02790067
35	1.026765957
36	1.025332643
37	1.024170343
38	1.021746961
39	1.018823794
40	1.017424655
41	1.015733186
42	1.014070015
43	1.013131502
44	1.009424674
45	1.007907693
46	1.007142652
47	1.006013364
48	1.004922697
49	1.003146258
50	1.001960165
51	1.00132398
52	1.000208438
53	0.9995024515
54	0.9984572409
55	0.9977134715
56	0.9943287644
57	0.9934779789
58	0.9927534361
59	0.9905248701
60	0.9890391363
61	0.9874831917
62	0.9865740692
63	0.9854139328
64	0.9845899575
65	0.9837710216
66	0.9823867916
67	0.9820152824
68	0.9809360501
69	0.9791031266
70	0.9786830619
71	0.9773345322
72	0.9766937035
73	0.9762665079
74	0.9754843265
75	0.9750618536
76	0.973067431
77	0.9704825282
78	0.9690850858
79	0.9683449646
80	0.9675737178
81	0.9651438336
82	0.9641789409
83	0.9637381692
84	0.9623691303
85	0.9609386719
86	0.9597337223
87	0.9580955191
88	0.957867509
89	0.9565827181
90	0.9562334556
91	0.9554610246
92	0.9530984843
93	0.9523166254
94	0.9519013906
95	0.9515926945
96	0.950924692
97	0.9495698904
98	0.9491329076
99	0.9481554576
100	0.9478555164
101	0.9474139184
102	0.9470568306
103	0.946512571
104	0.9459356155
105	0.9454691686
106	0.943625644
107	0.9427853724
108	0.9424918897
109	0.9413817524
110	0.9410148321
111	0.9400341098
112	0.9385294725
113	0.9372796274
114	0.9365246608
115	0.936014993
116	0.9353517441
117	0.9344996696
118	0.9332950296
119	0.9328928529
120	0.9319032836
121	0.9313093125
122	0.9300281011
123	0.9288634312
124	0.9283387426
125	0.9279113478
126	0.9268302403
127	0.9264427455
128	0.925618906
129	0.9250331136
130	0.9247131516
131	0.9237094598
132	0.9225638806
133	0.9218253948
134	0.9215025775
135	0.9207686309
136	0.9202077256
137	0.9197644563
138	0.9191543166
139	0.9184921319
140	0.9177607236
141	0.9172143831
142	0.9169147824
143	0.9160328895
144	0.9145853335
145	0.914124156
146	0.9128340105
147	0.9124693496
148	0.9120758975
149	0.9117460271
150	0.911282775
151	0.9108420867
152	0.9097814935
153	0.9093937179
154	0.9088659839
155	0.9084114406
156	0.9079576634
157	0.9076012709
158	0.9070974131
159	0.9066704022
160	0.9058314595
161	0.9055733914
162	0.904785178
163	0.9044650223
164	0.903980632
165	0.9036668689
166	0.9033317169
167	0.9029434007
168	0.9017096611
169	0.9014957291
170	0.901274801
171	0.9008903965
172	0.90067121
173	0.9002049019
174	0.8996370939
175	0.8991261368
176	0.8984953987
177	0.8982349038
178	0.8977108578
179	0.8970214619
180	0.8953132296
181	0.8946609447
182	0.8942790132
183	0.8939574422
184	0.8934139664
185	0.8929359502
186	0.8925441968
187	0.8921263205
188	0.8918825814
189	0.8916072034
190	0.8912567446
191	0.8910086167
192	0.890538134
193	0.8901010241
194	0.8893369866
195	0.889106961
196	0.8888265181
