iter	Passed	Remaining
0	175	87633
1	230	57302
2	282	46804
3	334	41417
4	388	38472
5	437	36011
6	489	34460
7	539	33159
8	590	32195
9	647	31751
10	697	31007
11	750	30511
12	802	30052
13	854	29668
14	907	29347
15	956	28942
16	1009	28687
17	1055	28256
18	1104	27971
19	1160	27844
20	1212	27654
21	1264	27464
22	1309	27168
23	1358	26950
24	1411	26814
25	1454	26523
26	1506	26386
27	1557	26253
28	1628	26446
29	1673	26213
30	1724	26085
31	1775	25969
32	1829	25888
33	1888	25888
34	1939	25765
35	1982	25548
36	2029	25391
37	2069	25159
38	2120	25063
39	2175	25021
40	2219	24847
41	2267	24727
42	2311	24564
43	2353	24394
44	2407	24344
45	2454	24223
46	2497	24069
47	2544	23963
48	2584	23783
49	2630	23671
50	2676	23564
51	2717	23408
52	2760	23278
53	2804	23163
54	2850	23060
55	2905	23036
56	2956	22979
57	3002	22877
58	3042	22743
59	3097	22711
60	3143	22620
61	3192	22550
62	3238	22463
63	3276	22320
64	3326	22264
65	3366	22135
66	3413	22063
67	3457	21963
68	3504	21892
69	3554	21837
70	3602	21766
71	3650	21702
72	3700	21644
73	3746	21567
74	3789	21472
75	3827	21352
76	3878	21306
77	3930	21263
78	3979	21209
79	4029	21155
80	4078	21096
81	4135	21082
82	4189	21048
83	4237	20984
84	4287	20931
85	4336	20874
86	4388	20832
87	4445	20814
88	4486	20716
89	4533	20652
90	4572	20549
91	4616	20472
92	4668	20430
93	4719	20384
94	4764	20311
95	4805	20224
96	4849	20148
97	4897	20088
98	4941	20015
99	4989	19957
100	5031	19878
101	5082	19830
102	5127	19762
103	5171	19691
104	5227	19665
105	5273	19602
106	5329	19573
107	5380	19530
108	5424	19457
109	5469	19391
110	5514	19326
111	5564	19275
112	5617	19240
113	5668	19191
114	5714	19131
115	5759	19064
116	5799	18983
117	5842	18912
118	5893	18870
119	5933	18787
120	5975	18716
121	6013	18631
122	6066	18595
123	6115	18545
124	6166	18500
125	6212	18440
126	6259	18383
127	6306	18328
128	6357	18282
129	6396	18204
130	6435	18128
131	6487	18085
132	6537	18040
133	6587	17991
134	6633	17934
135	6686	17895
136	6732	17838
137	6775	17772
138	6817	17705
139	6864	17652
140	6914	17604
141	6960	17547
142	7006	17492
143	7056	17446
144	7107	17400
145	7154	17346
146	7206	17304
147	7250	17245
